title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
CODA,Every family has its own language.,1,Sian Heder,3,"Sian Heder(screenplay),Victoria Bedos(motion picture ""La Famille Belier""),Stanislas Carré de Malberg(motion picture ""La Famille Belier"")","Emilia Jones,Marlee Matlin,Troy Kotsur",2021,0,"Comedy,Drama,Music",129,38,8.1,41031,75.0,111,"United States,France,Canada","Vendome Pictures,Pathé Films,Picture Perfect Federation",https://www.imdb.com/title/tt10366460/
Outside the Wire,,1,Mikael Håfström,2,"Rob Yescombe(screenplay by),Rowan Athale(screenplay by)","Anthony Mackie,Damson Idris,Enzo Cilenti",2021,0,"Action,Adventure,Fantasy,Sci-Fi",0,0,5.4,40563,45.0,114,"Hungary,United States","Netflix,42,Automatik Entertainment",https://www.imdb.com/title/tt10451914/
Chaos Walking,No one escapes the noise,1,Doug Liman,2,"Patrick Ness(screenplay by),Christopher Ford(screenplay by)","Tom Holland,Daisy Ridley,Demián Bichir",2021,0,"Action,Adventure,Fantasy,Sci-Fi",0,2,5.8,40107,38.0,109,"United States,Canada,Hong Kong,Luxembourg","3 Arts Entertainment,Allison Shearmur Productions,BRON Studios",https://www.imdb.com/title/tt2076822/
The Witcher: Nightmare of the Wolf,Face Your Demons,1,Kwang Il Han,2,"Beau DeMayo(screenplay by),Andrzej Sapkowski(based on the book series The Witcher by)","Theo James(voice),Mary McDonnell(voice),Lara Pulver(voice)",2021,0,"Animation,Action,Adventure,Drama,Fantasy,Mystery",1,0,7.3,39720,67.0,83,"South Korea,United States","Studio Mir,Hivemind,Platige Image",https://www.imdb.com/title/tt11657662/
Thunder Force,,1,Ben Falcone,1,Ben Falcone,"Melissa McCarthy,Octavia Spencer,Jason Bateman",2021,0,"Action,Adventure,Comedy,Fantasy,Sci-Fi",0,0,4.4,39668,34.0,106,United States,"Marc Platt Productions,Netflix",https://www.imdb.com/title/tt10121392/
Dhamaka,,1,Ram Madhvani,2,"Ram Madhvani,Puneet Sharma","Kartik Aaryan,Mohammed Mansoor,Mrunal Thakur",2021,0,"Crime,Drama,Thriller",0,0,7.4,38411,,103,India,"Globalgate Entertainment,Lotte Cultureworks,Lotte Entertainment",https://www.imdb.com/title/tt13510660/
Cinderella,The legend you know. The story you don't.,1,Kay Cannon,1,Kay Cannon(written for the screen by),"Camila Cabello,Billy Porter,Nicholas Galitzine",2021,0,"Comedy,Family,Fantasy,Musical,Romance",2,0,4.2,38162,41.0,113,"United States,United Kingdom","Columbia Pictures,DMG Entertainment,Fulwell 73",https://www.imdb.com/title/tt10155932/
Antim: The Final Truth,,1,Mahesh Manjrekar,3,"Mahesh Manjrekar(screenplay),Abhijeet Shirish Deshpande(screenplay),Siddharth Salvi(screenplay)","Salman Khan,Aayush Sharma,Mahima Makwana",2021,0,"Action,Crime,Drama",0,0,7.0,38028,,138,India,Salman Khan Films,https://www.imdb.com/title/tt13491110/
Gunpowder Milkshake,,1,Navot Papushado,2,"Navot Papushado,Ehud Lavski","Karen Gillan,Lena Headey,Carla Gugino",2021,0,"Action,Crime,Thriller",2,0,6.1,37626,47.0,114,"France,Germany,United States","StudioCanal,The Picture Company,Studio Babelsberg",https://www.imdb.com/title/tt8368408/
Elk*Rtuk,The Cost of Deception,1,Keith English,1,Balázs Bendi(screenplay),"Vivianne Bánovits,András Mózes,Barna Bokor",2021,0,"Crime,Drama,History,Thriller",0,0,1.5,36976,,125,Hungary,Megafilm,https://www.imdb.com/title/tt14723224/
The Lost Daughter,,1,Maggie Gyllenhaal,2,"Maggie Gyllenhaal,Elena Ferrante(based on the novel by)","Olivia Colman,Jessie Buckley,Dakota Johnson",2021,0,Drama,96,26,6.7,36508,86.0,121,"Greece,United Kingdom,Israel,United States","Endeavor Content,Samuel Marshall Productions,Pie Films",https://www.imdb.com/title/tt9100054/
Mimi,Nothing like what you're expecting!,2,"Rajesh Bhatia,Laxman Utekar",3,"Laxman Utekar(screenplay),Rohan Shankar(screenplay),Samruoddhi Porey(based on the original story by)","Kriti Sanon,Evelyn Edwards,Pankaj Tripathi",2021,0,"Comedy,Drama",2,0,8.0,36020,,132,India,"Jio Studios,Maddock Films,Skywalk Films",https://www.imdb.com/title/tt10895576/
Sardar Udham,,1,Shoojit Sircar,2,"Shubhendu Bhattacharya(screenplay),Ritesh Shah(screenplay)","Vicky Kaushal,Banita Sandhu,Shaun Scott",2021,0,"Biography,Crime,Drama,History",3,6,8.7,35843,,164,India,"Kino Works,Rising Sun Films",https://www.imdb.com/title/tt10280296/
Oxygen,No escape. No memory. 90 minutes to live.,1,Alexandre Aja,1,Christie LeBlanc,"Mélanie Laurent,Mathieu Amalric(voice),Malik Zidi",2021,0,"Drama,Fantasy,Sci-Fi,Thriller",1,0,6.5,35251,67.0,100,"France,United States","Getaway Films,Wild Bunch,Echo Lake Entertainment",https://www.imdb.com/title/tt6341832/
Spencer,Every fairy tale ends,1,Pablo Larraín,1,Steven Knight,"Kristen Stewart,Timothy Spall,Jack Nielen",2021,0,"Biography,Drama",110,33,6.8,35167,76.0,117,"United Kingdom,Germany,United States,Chile","Shoebox Films,Komplizen Film,FilmNation Entertainment",https://www.imdb.com/title/tt12536294/
Malcolm & Marie,Madly in Love,1,Sam Levinson,1,Sam Levinson,"John David Washington,Zendaya",2021,0,"Drama,Romance",7,2,6.7,34515,53.0,106,United States,"Little Lamb,The Reasonable Bunch",https://www.imdb.com/title/tt12676326/
Fatherhood,"In It, Together.",1,Paul Weitz,3,"Dana Stevens(screenplay by),Paul Weitz(screenplay by),Matt Logelin(based upon the book by)","Kevin Hart,Alfre Woodard,Lil Rel Howery",2021,0,"Comedy,Drama",1,0,6.6,34354,53.0,109,United States,"BRON Studios,Free Association,Higher Ground Productions",https://www.imdb.com/title/tt4733624/
Toofaan,,1,Rakeysh Omprakash Mehra,2,"Vijay Maurya(additional screenplay and dialogue),Anjum Rajabali(story and screenplay)","Farhan Akhtar,Mrunal Thakur,Paresh Rawal",2021,0,"Action,Drama,Sport",1,0,5.2,34112,,163,India,"Excel Entertainment,ROMP",https://www.imdb.com/title/tt11045422/
Drishyam 2,The Resumption,1,Jeethu Joseph,1,Jeethu Joseph,"Mohanlal,Meena,Ansiba",2021,0,"Crime,Drama,Thriller",0,0,8.6,33704,,152,India,Aashirvad Cinemas,https://www.imdb.com/title/tt12361178/
Resident Evil: Welcome to Raccoon City,,1,Johannes Roberts,1,Johannes Roberts,"Kaya Scodelario,Robbie Amell,Hannah John-Kamen",2021,0,"Action,Horror,Sci-Fi",0,0,5.2,33473,44.0,107,"Canada,Germany","Constantin Film,Davis Films",https://www.imdb.com/title/tt6920084/
Escape Room: No Way Out,,1,Adam Robitel,3,"Will Honley(screenplay by),Maria Melnik(screenplay by),Daniel Tuch(screenplay by)","Taylor Russell,Logan Miller,Deborah Ann Woll",2021,0,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",0,0,5.8,33406,48.0,88,"United States,South Africa","Columbia Pictures,Original Film,Shaken Not Stirred",https://www.imdb.com/title/tt9844522/
Stillwater,Secrets run deep.,1,Tom McCarthy,3,"Tom McCarthy,Marcus Hinchey,Thomas Bidegain","Matt Damon,Camille Cottin,Abigail Breslin",2021,0,"Crime,Drama,Thriller",2,0,6.6,33242,60.0,139,United States,"3dot productions,Amblin Partners,Anonymous Content",https://www.imdb.com/title/tt10696896/
Tom and Jerry,Best of Enemies. Worst of Friends.,1,Tim Story,3,"William Hanna(based on characters created by),Joseph Barbera(based on characters created by),Kevin Costello","Chloë Grace Moretz,Michael Peña,Colin Jost",2021,0,"Animation,Adventure,Comedy,Family,Fantasy",3,0,5.3,32310,32.0,101,"United States,United Kingdom,France,Germany","Warner Animation Group,Hanna-Barbera Productions,Keylight Productions",https://www.imdb.com/title/tt1361336/
The Ice Road,This mission is on thin ice.,1,Jonathan Hensleigh,1,Jonathan Hensleigh,"Liam Neeson,Marcus Thomas,Laurence Fishburne",2021,0,"Action,Adventure,Drama,Thriller",1,0,5.6,32265,42.0,109,"United States,Canada","Code Entertainment,ShivHans Pictures,Envision Media Arts",https://www.imdb.com/title/tt3758814/
