title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Pompeii,No warning. No escape.,1,Paul W.S. Anderson,3,"Janet Scott Batchler(screenplay),Lee Batchler(screenplay),Michael Robert Johnson(screenplay)","Kit Harington,Emily Browning,Kiefer Sutherland",2014,0,"Action,Adventure,Drama,Fantasy,History,Romance",4,9,5.5,109928,39.0,105,"Canada,Germany,United States,United Kingdom","TriStar Pictures,FilmDistrict,Constantin Film",https://www.imdb.com/title/tt1921064/
Paddington,Please look after this bear. Thank you,1,Paul King,3,"Paul King(screen story by),Hamish McColl(screen story by),Michael Bond(""Paddington Bear"" created by)","Hugh Bonneville,Sally Hawkins,Julie Walters",2014,0,"Adventure,Comedy,Family,Fantasy",7,3,7.3,109179,77.0,95,"United Kingdom,France,United States,China","StudioCanal,Anton,TF1 Films Production",https://www.imdb.com/title/tt1109624/
Inherent Vice,Love usually leads to trouble.,1,Paul Thomas Anderson,2,"Paul Thomas Anderson(written for the screen by),Thomas Pynchon(based on the novel by)","Joaquin Phoenix,Josh Brolin,Owen Wilson",2014,0,"Comedy,Crime,Drama,Mystery,Romance",98,15,6.7,101566,81.0,148,United States,"Ghoulardi Film Company,Warner Bros.,IAC Films",https://www.imdb.com/title/tt1791528/
That Awkward Moment,When you realize getting some means wanting more,1,Tom Gormican,1,Tom Gormican,"Zac Efron,Michael B. Jordan,Miles Teller",2014,0,"Comedy,Romance",2,1,6.1,101561,36.0,94,United States,"Treehouse Pictures,Aversano Films,What If It Barks Films",https://www.imdb.com/title/tt1800246/
St. Vincent,Love Thy Neighbor,1,Theodore Melfi,1,Theodore Melfi(screenplay),"Bill Murray,Melissa McCarthy,Naomi Watts",2014,0,"Comedy,Drama",23,7,7.2,99585,64.0,102,United States,"Chernin Entertainment,Crescendo Productions,Goldenlight Films",https://www.imdb.com/title/tt2170593/
The Guest,Be careful who you let in.,1,Adam Wingard,1,Simon Barrett,"Dan Stevens,Sheila Kelley,Maika Monroe",2014,0,"Action,Mystery,Thriller",13,4,6.7,98191,76.0,100,"United States,United Kingdom","HanWay Films,Snoot Entertainment",https://www.imdb.com/title/tt2980592/
3 Days to Kill,,1,McG,2,"Adi Hasak(screenplay),Luc Besson(screenplay)","Kevin Costner,Hailee Steinfeld,Connie Nielsen",2014,0,"Action,Drama,Thriller",0,0,6.2,92100,40.0,117,"United States,France","Relativity Media,EuropaCorp,Aéroports de Paris",https://www.imdb.com/title/tt2172934/
Big Eyes,She created it. He sold it. And they bought it.,1,Tim Burton,2,"Scott Alexander,Larry Karaszewski","Amy Adams,Christoph Waltz,Danny Huston",2014,0,"Biography,Crime,Drama,Romance",18,3,7.0,90810,62.0,106,"United States,Canada","The Weinstein Company,Silverwood Films,Tim Burton Productions",https://www.imdb.com/title/tt1126590/
Selma,One dream can change the world.,1,Ava DuVernay,1,Paul Webb,"David Oyelowo,Carmen Ejogo,Oprah Winfrey",2014,1,"Biography,Drama,History",91,58,7.5,90354,80.0,128,"United Kingdom,United States,France","Pathé,Harpo Films,Plan B Entertainment",https://www.imdb.com/title/tt1020072/
"As Above, So Below",The only way out is down.,1,John Erick Dowdle,2,"John Erick Dowdle(screenplay),Drew Dowdle(screenplay)","Perdita Weeks,Ben Feldman,Edwin Hodge",2014,0,"Horror,Mystery,Thriller",6,1,6.2,88353,38.0,93,United States,"Legendary Entertainment,Universal Pictures,Brothers Dowdle Productions",https://www.imdb.com/title/tt2870612/
Penguins of Madagascar,The movie event that will blow their cover,2,"Eric Darnell,Simon J. Smith",3,"Michael Colton(screenplay by),John Aboud(screenplay by),Brandon Sawyer(screenplay by)","Tom McGrath(voice),Chris Miller(voice),Christopher Knights(voice)",2014,0,"Animation,Adventure,Comedy,Family,Sci-Fi",8,0,6.7,87089,53.0,92,United States,"DreamWorks Animation,Pacific Data Images (PDI)",https://www.imdb.com/title/tt1911658/
Rio 2,It's on in the Amazon,1,Carlos Saldanha,3,"Don Rhymer(screenplay by),Carlos Kotkin(screenplay by),Jenny Bicks(screenplay by)","Jesse Eisenberg(voice),Anne Hathaway(voice),Jemaine Clement(voice)",2014,0,"Animation,Adventure,Comedy,Family,Music,Musical",24,2,6.3,87017,49.0,101,"United States,Canada","Twentieth Century Fox Animation,Blue Sky Studios,FortyFour Studios",https://www.imdb.com/title/tt2357291/
The Hundred-Foot Journey,Life's greatest journey begins with the first step.,1,Lasse Hallström,2,"Steven Knight(screenplay by),Richard C. Morais(novel)","Helen Mirren,Om Puri,Manish Dayal",2014,0,"Comedy,Drama",4,2,7.3,81031,55.0,122,"United States,India,United Arab Emirates","Amblin Entertainment,Dreamworks Pictures,Harpo Films",https://www.imdb.com/title/tt2980648/
"I, Frankenstein","In the battle between good and evil, an immortal holds the key.",1,Stuart Beattie,3,"Stuart Beattie(screenplay),Kevin Grevioux(screen story),Mary Shelley(characters)","Aaron Eckhart,Bill Nighy,Miranda Otto",2014,0,"Action,Fantasy,Sci-Fi",1,0,5.1,80230,30.0,92,"United States,Australia","Hopscotch Features,Lakeshore Entertainment,Lionsgate",https://www.imdb.com/title/tt1418377/
Frank,"On May 9, take off the mask",1,Lenny Abrahamson,2,"Jon Ronson(newspaper article),Peter Straughan","Michael Fassbender,Domhnall Gleeson,Maggie Gyllenhaal",2014,0,"Comedy,Drama,Music",18,13,7.0,77743,75.0,95,"United Kingdom,Ireland","Element Pictures,Runaway Fridge Productions,Film4",https://www.imdb.com/title/tt1605717/
This Is Where I Leave You,Welcome Home. Get Uncomfortable.,1,Shawn Levy,1,Jonathan Tropper(screenplay),"Jason Bateman,Tina Fey,Jane Fonda",2014,0,"Comedy,Drama",1,0,6.6,77489,44.0,103,United States,"21 Laps Entertainment,Spring Creek Productions,Warner Bros.",https://www.imdb.com/title/tt1371150/
Before I Go to Sleep,,1,Rowan Joffe,2,"Rowan Joffe,S.J. Watson(based on the novel by)","Nicole Kidman,Colin Firth,Mark Strong",2014,0,"Drama,Mystery,Thriller",0,0,6.4,77162,41.0,92,"United Kingdom,United States,France,Sweden","Scott Free Productions,Millennium Films,StudioCanal",https://www.imdb.com/title/tt1726592/
A Most Wanted Man,From Master Spy novelist John le Carré Best Selling Author of Tinker Tailor Soldier Spy,1,Anton Corbijn,3,"Andrew Bovell(screenplay),John le Carré(novel),Stephen Cornwell(additional writing)","Philip Seymour Hoffman,Rachel McAdams,Daniel Brühl",2014,0,"Crime,Drama,Thriller",6,3,6.8,75472,73.0,122,"United Kingdom,United States,Germany","Lionsgate,Film4,Demarest Films",https://www.imdb.com/title/tt1972571/
